alcoholic beverages,boissons alcoolisées
appetizer,"hors-d'œuvre,amuse-gueules"
apple,pomme  
apple juice,jus de pomme  
"apple pie,apple tart",tarte aux pommes  
apricot,abricot  
artichoke,artichaut  
asparagus,asperges  
avocado,avocat  
"baguette,long french loaf",baguette  
banana,banane  
basil,basilic  
beans,haricots/ les feves  
beef,bœuf  
beef roast,rôti de bœuf
beef stewed in red wine,bœuf bourguignon
beer,bière  
beverages,boissons  
blackberry,mûre  
blueberry,myrtille  
bread,pain  
brioche,brioche  
broccoli,brocoli  
butter,beurre  
cabbage,"chou,choux"
"cake,cakes","gâteau,gâteaux"
"candy,sweets",bonbons  
canned goods,conserves  
caramel custard,crème caramel  
carrots,carottes   
cauliflower,chou-fleur  
celery,céleri  
cereal,céréales  
champagne,champagne
cheese,fromage  
cheese omelette,omelette au fromage  
cheese sandwich,sandwich au fromage  
cherries,cerises  
chicken,poulet  
chicken stew in wine sauce,coq au vin  
chips,"croustilles,chips"
chocolate bread,pain au chocolat  
chocolate cake,gâteau au chocolat  
chocolate ice cream,glace au chocolat  
chocolate mousse,mousse au chocolat  
coffee,café  
coffee and cream,café creme  
coffee with milk,café au lait  
coke,coca-cola
"cookies,biscuits",biscuits  
corn,maïs  
cracker,cracker  
crackers,craquelins  
cream,crème  
cream cheese,fromage blanc  
"crème brûlée,burnt cream in caramel sauce",crème brûlée    
crepe,crêpe  
"croissant,buttered pastry",croissant  
cucumber,concombre  
dairy products,produits laitiers  
desserts,desserts  
donut,beigne  
drink,boisson  
drink (served before a meal),apéritif  
duck,canard  
duck in orange sauce,canard a l'orange  
eggplant,aubergine  
eggs,œufs  
eggs and bacon,œufs au bacon  
expresso,express  
fish,poisson  
flour,farine  
flourless chocolate cake,fondant au chocolat  
french fries,pomme frite  
fresh cream,crème fraîche  
freshwater eel,anguille  
fruit juice,jus de fruits  
fruit salad,salad de fruits  
fruits,fruits  
garlic,ail  
garlic mayonnaise,aioli  
grape juice,jus de raisin  
grapefruit,pamplemousse  
grapes,raisins  
green beans,"haricots verts,petits pois"
green pepper,poivron vert  
green salad,salad verte  
haddock,aiglefin  
ham,jambon  
ham omelette,omlette au jambon  
ham sandwich,sandwich au jambon  
hamburger,hamburger  
honey,miel  
"hot chocolate,hot cocoa","chocolat chaud,chocolat"
hot dog,hot dog  
ice cream,"glace,crème glacee"
iced tea,thé glacé  
jam,confiture  
juice,jus  
lamb,agneau  
"leek,leeks","poireau,poireaux"
lemon,citron  
lemon tart,tarte au citron  
"lemonade,lemon soda","lemonade,citron presse"
lettuce,laitue  
lime,citron vert  
marmalade,confiture  
mayonnaise,mayonnaise  
meat,viande  
melon,melon  
milk,lait  
milkshake,lait frappe  
mineral water,eau minérale  
mint,menthe  
mousse,mousse  
mushrooms,champignon  
mustard,moutarde  
mutton,mouton  
non-alcoholic beverages,boissons non-alcoolisées
"nuts,walnuts",noix  
offal,abats  
oil,huile  
omelette,omelette  
omelette with herbs,omelette aux fines herbes
onion,oignon  
onion soup,soupe à l'oignon  
orange,orange  
orange fizz drink,Orangina  
orange juice,"jus d'orange,orange presse"
parsely,persil  
pâté,pâté  
pea,pois  
peach,pêche  
peanut butter,beurre d'archides  
peanuts,archides  
pear,poire  
peas,pois  
pepper,poivre  
"pie,tart",tarte  
pineapple,ananas  
pizza,pizza  
plum,prune  
pork,porc  
pork chop,côtelette de porc  
pork sausage,andouilles  
potato,pomme de terre  
poultry herbs,herbes de Provence  
"quiche (lorraine,salmon,etc.)","quiche (lorraine,au saumon,etc.)"
radish,radis  
raisin,sec raisin  
raspberry,framboise  
raw vegetables plus vinaigrette,crudités  
red pepper,poivron rouge  
red wine,vin rouge (du rouge)  
rice,riz  
roast,rôti  
roast beef,rosbif  
"roll,bun",petit pain  
rosé wine,vin rosé (du rosé)  
"salad (with bacon,nuts,etc.)","salade (avec des lardons,des noix,etc.)"
"salad,lettuce",salade  
salami sandwich,sandwich au saucisson  
salmon,saumon  
salt,sel  
sandwich with ham and butter,sandwich jambon beurre  
"sauce,dressing,gravy",sauce  
"sausage,salami",saucisson  
sausages,saucisses  
shrimp,crevette  
small tart,tartelette  
"soda,pop","boisson gazeuse,soda"
sole,sole  
sole filet,filet de sole  
soup,potage  
spices,épices   
spinach,épinards  
steak,"bifteck,steak"
steak and french fries,steak-frites  
strawberries,fraises  
strawberry ice cream,glace au fraise  
strawberry tart,tarte à la fraise  
sugar,sucre  
tea,thé  
tea and herbs,thé nature  
tea and lemon,thé et citron  
tea and milk,thé au lait  
toast,"pain grille,toast"
toasted cheese sandwich with a fried egg,croque-madame  
toasted ham & cheese sandwich,croque-monsieur  
tomato,tomate  
tomato juice,jus de tomate  
tomato sauce,sauce tomate  
tomato soup,soupe de tomates  
tomatoe salad,salad de tomate  
trout,truite  
tuna,thon  
turkey,dinde  
vanilla,vanille  
vanilla ice cream,glace à la vanille  
veal,veau  
vegetables,légumes  
vinegar,vinaigre  
waffle,gaufre  
water,eau  
watermelon,pastèque  
white beans,haricots blancs  
white wine,vin blanc (du blanc)  
wine,vin  
yoghurt,yaourt  
zucchini,courgettes   